TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,40,50,0,0,50
2,20000,0.475,1.5,0.5,39.53089273,50,0,0,50
3,20000.00009,0.474950247,1.500000001,0.502926162,39.88063956,50.00000001,0,0,49.99999984
4,20055.38768,0.475495678,1.508049546,0.502968815,39.73381955,50.00000002,0,0.659849639,49.9078349
5,20068.94466,0.475874565,1.507602431,0.507209528,39.73454458,50.00201242,0,0.685561595,49.88173127
6,20186.31613,0.477062372,1.523048485,0.505858031,39.97826035,50.00417255,0,1.658170964,49.68201268
7,20302.71153,0.477624339,1.535203173,0.505611745,39.91748408,50.0091496,0,1.393060802,49.47640651
8,20409.41765,0.47799193,1.543528208,0.505369459,39.92766922,50.01299894,0,1.36974238,49.27947399
9,20422.03534,0.478239402,1.539075278,0.504444827,40.10454332,50.02168646,0,1.345971546,49.23227542
10,20368.51822,0.47834072,1.529720713,0.500428384,39.96668013,50.03207587,0,1.16699905,49.29431765
11,20228.22506,0.477694378,1.512909635,0.501702032,39.903383,50.04284554,0,0.285737799,49.5041803
12,20124.80126,0.477534601,1.506390193,0.501806395,40.1760359,50.05051299,0,0.575301449,49.6616711
13,20045.56909,0.477406429,1.503049096,0.505126076,40.2410787,50.05543215,0,0.608196515,49.78552615
14,19995.14737,0.477948669,1.501030666,0.501663837,40.16275552,50.05641907,0,1.366719659,49.86651147
15,19959.5357,0.47767799,1.498917485,0.502480778,40.29405125,50.05820494,0,0.614178281,49.92607986
16,20011.68235,0.477622231,1.508252865,0.50420096,40.52532891,50.06066494,0,0.807549588,49.84189754
17,20118.20069,0.477828992,1.521609389,0.501844502,40.44966016,50.06358093,0,1.209094961,49.66390336
18,20277.20408,0.477447293,1.538527398,0.503191707,39.89063346,50.0666469,0,0.700818913,49.39175687
19,20350.71917,0.477338259,1.539869484,0.507219597,40.0481764,50.07333988,0,1.014758346,49.2516867
20,20422.36725,0.478130353,1.544567705,0.506429357,39.81128792,50.08320626,0,1.940602021,49.11001827
21,20397.32712,0.478600847,1.537752506,0.505718214,40.15130893,50.09636847,0,1.802110576,49.12465354
22,20392.2295,0.478921006,1.538190918,0.501785083,40.23325568,50.10717635,0,1.677109372,49.10770705
23,20321.46889,0.478373874,1.530029342,0.502480529,40.13202212,50.1185525,0,0.821638352,49.20035001
