TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
0,20000,0.475,1.5,0.5,40,50,0,0,50
1,20000,0.475,1.5,0.5,39.7805337,50,0,0,50
2,20000.00009,0.474950247,1.500000001,0.500604804,39.77532107,50.00000001,0,0,49.99999984
3,19996.16108,0.475031406,1.499419534,0.505444787,39.78545108,50.00000002,0,0.136383379,50.00638796
4,19912.31874,0.476069122,1.487723654,0.504931149,39.98805722,50.00196185,0,1.231125891,50.1461473
5,19729.12457,0.476891664,1.465744398,0.504808624,39.82051959,50.00413314,0,1.145246823,50.456594
6,19537.01263,0.477662323,1.448574155,0.503490899,39.88067903,50.0062973,0,1.144738732,50.79360429
7,19469.97192,0.478056687,1.450528855,0.504084181,39.45848724,50.00489186,0,0.874039168,50.93479122
8,19414.73693,0.478371001,1.448299676,0.504920518,39.36811445,49.99805347,0,1.027024337,51.06062404
9,19472.03287,0.478787173,1.457676028,0.505638407,39.35576796,49.9892851,0,1.238081276,51.00274044
10,19537.1333,0.479159562,1.463615356,0.504101319,39.03011641,49.98483919,0,1.427028002,50.92820322
11,19548.89766,0.479127678,1.459717699,0.501809024,39.36053662,49.98035993,0,1.111426001,50.9382508
12,19767.53529,0.478708613,1.487472429,0.497116097,39.23599997,49.97979549,0,0.61707074,50.60330833
13,19974.30957,0.477189132,1.506711771,0.497795378,39.44582065,49.98008925,0.431234631,0,50.27411368
14,20139.61505,0.476064161,1.516017755,0.495792165,39.38008084,49.97777094,0.293918397,0,50.00068954
15,20312.93093,0.474798415,1.530377494,0.496480153,39.19826662,49.98491709,0.757768375,0,49.70335655
16,20391.73837,0.473876863,1.532523826,0.496359465,38.76212918,49.99410608,0.625770035,0,49.5521934
17,20477.10267,0.473182498,1.540026351,0.494213253,38.71791056,50.00231821,0.672344283,0,49.38507594
18,20426.48953,0.472175575,1.529526507,0.493929138,38.40831191,50.01268095,1.1763381,0,49.43876163
19,20395.05885,0.471441609,1.527296605,0.496209903,38.36323971,50.02078987,1.272233075,0,49.46376695
20,20325.52884,0.471302425,1.52164621,0.496825349,38.18454062,50.03001783,0.791310486,0,49.55418113
21,20271.74007,0.471345421,1.518496367,0.500052648,38.02894848,50.03456501,0.673372956,0,49.62285179
22,20121.15928,0.472025504,1.501096928,0.498868647,38.11424908,50.03955347,0,0.036922413,49.85602686
23,19995.69094,0.472453668,1.490704981,0.497944566,37.70802331,50.04352128,0.22978011,0,50.05705199
24,19731.87924,0.472619056,1.4620889,0.501733394,37.77822681,50.04758921,0.444382833,0,50.49631044
25,19429.16226,0.473687397,1.43339767,0.50052769,38.01459777,50.04700555,0,0.398692978,51.01719121
26,19274.97623,0.474410543,1.429020014,0.499568676,37.99664689,50.04606174,0,0.136340275,51.3102904
27,19185.80023,0.474669635,1.427364995,0.500809406,37.92941448,50.03802267,0.07701508,0,51.50508077
28,19283.55975,0.475074175,1.444268255,0.503148388,37.82211597,50.02522061,0,0.200397315,51.39451772
29,19394.86335,0.475682285,1.454347506,0.503519199,37.86274145,50.01677104,0,0.732289497,51.2551607
30,19489.15916,0.476210872,1.458049887,0.502838821,37.67947198,50.00995905,0,0.833223544,51.13698122
31,19699.12062,0.476519479,1.479532026,0.502088171,37.67649066,50.01007237,0,0.699153814,50.82029916
32,19871.35428,0.476460596,1.492349657,0.499852024,38.05463575,50.01150789,0,0.545495768,50.55295863
33,19990.54604,0.475959982,1.4972131,0.498818082,38.08276844,50.01219542,0,0.052729648,50.36285687
34,20135.31227,0.475395657,1.51010967,0.49715931,38.27363906,50.01899081,0.181238072,0,50.12257092
