TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
109,20521.25676,0.466053546,1.523950449,0.490562317,39.80318206,50.11761967,1.729273229,0,50.07063931
110,20616.22129,0.465786619,1.538375712,0.49053227,39.79438057,50.1337276,1.933954589,0,49.87925789
111,20713.78212,0.465459509,1.549928317,0.491373045,40.01632725,50.14688228,1.992637281,0,49.67747851
112,20789.66613,0.465337963,1.556064113,0.492239416,39.78867809,50.15972817,1.855115183,0,49.50552546
113,20670.94095,0.465430151,1.534631008,0.489638318,39.64818691,50.17700041,1.707196654,0,49.65254553
114,20461.63493,0.465198759,1.509532694,0.49052585,39.66622918,50.19579978,2.336427437,0,49.95789053
115,20340.18803,0.465325272,1.505665322,0.491736697,40.06869177,50.21438673,2.193278207,0,50.13043354
116,20249.04892,0.465583367,1.50313667,0.494899557,39.89166926,50.2249594,1.972339998,0,50.26031697
117,20114.28264,0.466398427,1.489778344,0.494193936,39.78445312,50.23030959,1.304563225,0,50.46862893
118,20166.52452,0.466994031,1.504196389,0.493837576,40.17097446,50.23884138,1.491733256,0,50.37438436
119,20254.62992,0.467211899,1.516795796,0.489785944,40.26824456,50.24828614,1.604025842,0,50.2171194
120,20288.50186,0.466511876,1.515213205,0.490225983,40.19301677,50.25442106,2.551562086,0,50.14446018
121,20331.15477,0.466113354,1.517672191,0.486400807,40.18523768,50.26765038,2.508510733,0,50.05502161
122,20299.83223,0.465017961,1.511131737,0.486002148,39.89037393,50.28351087,3.424844889,0,50.08594842
123,20287.44322,0.464132544,1.510465989,0.487624744,39.75542659,50.29666206,3.589538062,0,53.41537446
124,20366.08483,0.463735825,1.524222429,0.490031615,39.79333125,50.31030214,3.300630917,0,53.39411846
125,20456.94069,0.463782638,1.534944651,0.490635799,39.61320501,50.32127936,2.825945409,0,53.34750489
126,20834.0498,0.46358411,1.546647878,0.490600008,39.59516748,50.33278993,2.744528073,0,52.81875113
127,21184.04118,0.46336678,1.559335894,0.490802246,39.79433638,50.34894981,2.804102125,0,52.31098628
128,21403.92196,0.463180991,1.557572449,0.491617926,39.75570267,50.37935735,2.810197352,0,51.99732602
129,21642.78808,0.463315335,1.571817528,0.492969777,39.8172259,50.41271349,2.676849192,0,51.63800179
130,21789.92032,0.463620029,1.5786046,0.493344292,39.79420563,50.44916365,2.418108056,0,51.41603531
131,21861.48414,0.463973037,1.578826211,0.492813973,39.41934283,50.48206963,2.372321259,0,51.31039822
132,21870.93414,0.464210957,1.576115478,0.492238586,39.2798797,50.51875091,2.528514492,0,51.30353843
133,21902.09888,0.464331046,1.580984533,0.492632511,39.28838702,50.55509793,2.697787581,0,51.25994052
134,21894.50721,0.464466976,1.579850879,0.494257537,39.41968008,50.58995168,2.651645088,0,51.27883873
135,21798.01831,0.464929745,1.565940959,0.494928272,39.45812803,50.62384691,2.325723044,0,51.44614779
136,21726.00258,0.465545616,1.560288576,0.499054227,39.9048076,50.66000193,2.206055765,0,51.5789088
137,21623.17004,0.466851098,1.550801522,0.499139342,39.77507748,50.69582592,1.303547429,0,51.76755799
138,21483.89303,0.467950378,1.535969501,0.503160994,39.68139996,50.72810818,1.28955587,0,52.02343205
139,21401.48122,0.469704782,1.531363937,0.502848721,40.04891978,50.76146636,0.387406748,0,52.19359614
140,21313.46956,0.471004227,1.523926667,0.504866007,40.11246169,50.79401806,0.440438943,0,52.37835275
141,21230.98785,0.472465765,1.515795642,0.502981899,40.21205983,50.82436982,0,0.030127058,52.55954025
142,21064.52083,0.473279423,1.496140121,0.500577862,40.29948444,50.85680528,0.367976269,0,52.88575815
143,20994.16138,0.473567241,1.492976909,0.499424942,40.36743194,50.88897595,0.893686299,0,53.06270695
144,20919.88109,0.473491693,1.487203484,0.497958713,40.29760114,50.92067135,1.150491463,0,53.25068302
145,20924.65224,0.473144346,1.489651593,0.499511085,40.16130833,50.94804129,1.484288856,0,53.31187143
146,20849.06329,0.473113427,1.478524681,0.499094449,39.91086651,50.9783869,1.145455966,0,53.50647372
147,20873.96355,0.47309768,1.482438843,0.499676723,39.74372847,51.0086903,1.24209658,0,53.53869963
148,20943.91223,0.473111246,1.490617585,0.501932443,39.60926824,51.04166461,1.115774166,0,53.49437136
149,21031.19312,0.473500026,1.496944968,0.502937653,39.71965342,51.07133465,0.608887378,0,53.41672557
150,21013.57356,0.47398938,1.488018415,0.500339302,39.61520634,51.10472495,0.371584194,0,53.50804815
151,20878.79784,0.473972464,1.468114751,0.503352294,39.66937022,51.14134247,0.941355153,0,53.79544625
152,20783.66259,0.474708526,1.460679186,0.504520644,40.01636262,51.17927382,0.260059335,0,54.02550824
153,20776.4742,0.475499724,1.465249963,0.506009304,40.09046031,51.21337435,0,0.021841166,54.11531532
154,20863.98432,0.476328655,1.477087525,0.50894042,40.29010283,51.24204454,0,0.382397664,54.04800413
155,20983.14108,0.477470604,1.487252788,0.507374113,40.2330783,51.27200649,0,1.076415376,53.92243229
156,21000.15476,0.478024546,1.480981939,0.504920789,39.90651822,51.30612246,0,0.772385399,53.95920049
157,20969.80168,0.478085338,1.472669967,0.502732147,39.50383972,51.34474528,0,0.259718641,54.07369812
158,20991.66479,0.477754901,1.475793766,0.4994819,39.62953046,51.38561339,0.20675591,0,54.10325059
159,21136.42073,0.476771068,1.493980162,0.499725628,39.6845303,51.42269868,0.924659772,0,53.92691017
160,21273.22086,0.475873931,1.504689958,0.498958828,39.56606076,51.45766746,0.872548767,0,53.75454381
161,21504.26987,0.474985841,1.526296173,0.494634621,39.44598826,51.49543798,1.046971175,0,53.41659214
162,21611.37079,0.473287019,1.528121392,0.495562829,39.42067821,51.53962804,2.027806267,0,53.27010292
163,21624.10851,0.472207402,1.520752543,0.499175626,39.89584707,51.58489025,1.848004932,0,53.27377963
164,21613.95074,0.472170428,1.517945926,0.497730374,40.26367603,51.63546452,1.057723728,0,53.31473921
165,21631.68316,0.4718582,1.521713691,0.495887347,40.16085843,51.68315477,1.388162091,0,53.30993962
166,21659.42552,0.471194918,1.525411018,0.496545397,40.07933598,51.7273366,1.816247538,0,53.2873486
167,21662.30236,0.47077641,1.524117983,0.496893914,39.75865238,51.7715938,1.69047686,0,53.30435831
168,21667.00717,0.470538742,1.523844736,0.498018264,39.56342201,51.81793722,1.63088654,0,53.31814216
169,21642.75965,0.470572448,1.520124837,0.495828018,39.60182542,51.86546129,1.394429196,0,53.37980158
170,21669.75717,0.47019063,1.524460373,0.495485879,39.95294056,51.91238509,1.899229214,0,53.35774108
171,21811.70262,0.469762111,1.543459729,0.495928993,39.81043978,51.95971255,1.999327514,0,53.1426794
172,21818.58744,0.469359494,1.537203861,0.497354948,39.66855241,52.0062479,1.924232911,0,53.14327408
173,21853.10361,0.469457986,1.538261226,0.496199234,39.86239745,52.05522986,1.625070463,0,53.09744958
174,21812.37537,0.469290907,1.531657335,0.494312881,39.73808757,52.1104602,1.90023193,0,53.17462274
175,21815.32807,0.468840667,1.533259503,0.495458508,39.57319899,52.16106283,2.346508693,0,53.18171744
176,21844.64035,0.468672222,1.538428633,0.500053213,39.61925939,52.21261473,2.11944904,0,53.1447608
177,22025.7383,0.469411901,1.562837088,0.50226369,39.51105304,52.26220893,1.108321088,0,52.85335684
178,22268.52567,0.470263666,1.589402865,0.502239267,39.32812741,52.31366997,0.609565895,0,52.4477114
179,22404.44936,0.47082772,1.594326465,0.501430305,39.38487703,52.36737275,0.602623041,0,52.20434873
180,22394.91672,0.471214213,1.582793909,0.499403016,39.44876222,52.42876053,0.772728087,0,52.19432629
181,22343.83384,0.471272423,1.575436383,0.498360417,40.00419195,52.49540374,1.222015008,0,52.25405353
182,22259.09707,0.471147731,1.568286672,0.498756074,40.19839848,52.55923945,1.460404436,0,52.37305015
183,22080.53937,0.471156477,1.548941264,0.497009306,40.1793352,52.61779665,1.380201425,0,52.65358795
184,21910.41668,0.470939082,1.534758469,0.500140532,39.87536188,52.67537116,1.780939248,0,52.93151758
185,21837.00795,0.471418005,1.535416054,0.501499835,39.74725506,52.73214844,1.091296614,0,53.05940304
186,21841.29338,0.471980447,1.541674812,0.501782838,39.86291738,52.78439714,0.784000935,0,53.06270358
187,21681.83862,0.472410051,1.519049972,0.502431466,39.93696592,52.83575284,0.711934675,0,53.33819352
188,21603.68186,0.473091689,1.51312398,0.503610302,40.20339812,52.89082092,0.555863383,0,53.48860871
189,21508.77471,0.473825533,1.505907643,0.501732936,39.77498855,52.94916325,0.276662927,0,53.67189856
190,21468.16505,0.474048166,1.504217809,0.502518946,39.55060129,52.99976601,0.680152214,0,53.77091146
191,21415.52223,0.474352426,1.499152215,0.502503771,39.66666712,53.0521829,0.493375686,0,53.89254654
192,21418.41018,0.474612725,1.500812145,0.499183682,39.85542113,53.10422391,0.482943607,0,53.92514756
193,21384.21309,0.474110547,1.495697761,0.501438019,40.18304507,53.15750574,1.217852897,0,54.01927328
194,21346.66781,0.474200939,1.490591174,0.500800601,40.38088948,53.21000203,0.71398956,0,54.12115898
195,21294.66012,0.474165521,1.484838922,0.504616788,40.27513144,53.26432614,0.849818336,0,54.24951304
196,21238.70307,0.474920446,1.479265196,0.502645984,40.51583968,53.31710653,0,0.015135185,54.38776732
197,21248.02465,0.475145222,1.482582768,0.501971334,40.53544415,53.36919,0.403888882,0,54.42097921
198,21271.49653,0.475122951,1.485101297,0.507264053,40.82677256,53.42046156,0.541469466,0,54.43004843
199,21207.15969,0.476143009,1.474249141,0.503826649,40.75135086,53.47105352,0,0.662881081,54.58372916
200,21225.62531,0.47637892,1.477500574,0.504492231,40.35016176,53.52427037,0.072301322,0,54.60374414
201,21076.75185,0.476620559,1.458153912,0.504109433,40.09028731,53.57831023,0,0.098834035,54.90102957
202,20989.22357,0.476917465,1.451006399,0.503941427,40.10443686,53.62820287,0,0.037220298,55.1057645
