TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,39.64189872,50,0,0,50
2,20000.00009,0.474950247,1.500000001,0.501202387,39.47668687,50.00000001,0,0,49.99999984
3,20073.8274,0.475150923,1.510713279,0.497673489,39.22181529,50.00000002,0,0.271138313,49.8771512
4,20152.15661,0.474518046,1.518831731,0.495246395,39.2407041,50.00197486,0.518015078,0,49.74208645
5,20200.08857,0.473503976,1.520604208,0.493059076,39.39098535,50.00398793,1.078120553,0,49.65258963
6,20253.34418,0.472285574,1.525012567,0.494663119,39.16018098,50.0094275,1.597505937,0,49.55116663
7,20281.19009,0.471616326,1.526622455,0.494445301,39.31626606,50.01586587,1.273969266,0,49.48861701
8,20277.27621,0.471050785,1.52454694,0.495072517,39.29429045,50.02133452,1.352440155,0,49.47713355
9,20238.69392,0.470756694,1.519443297,0.492517307,39.56569113,50.02756658,1.241553634,0,49.5235888
10,20145.57104,0.470049137,1.50845924,0.493759139,39.87108438,50.03348295,1.844854788,0,49.66326885
11,20068.84425,0.469801126,1.502824619,0.494444214,40.09709427,50.03824263,1.605976411,0,49.78162568
12,20122.35184,0.469736522,1.516458601,0.495872083,40.1948663,50.04159119,1.485816636,0,49.68818302
13,20223.94245,0.469823825,1.530488981,0.497153868,40.49951247,50.04226418,1.194389188,0,49.51130573
14,20298.50725,0.470081022,1.535028719,0.497468992,40.39342539,50.04301826,0.92805014,0,49.37289759
15,20234.34675,0.47037859,1.520033909,0.494925949,40.52621523,50.04950008,0.872643491,0,49.46055619
16,20270.30023,0.470263943,1.527381888,0.496796499,40.59237959,50.05894649,1.460020062,0,49.38573142
17,20332.91594,0.470440326,1.537939993,0.496314215,40.43098667,50.06759589,1.066118386,0,49.26423965
18,20268.11278,0.470422054,1.524955121,0.495238751,40.32447209,50.07045657,1.192492781,0,49.35076549
19,20245.39944,0.470345123,1.523533254,0.499037544,40.62834736,50.07747741,1.455281715,0,49.37140128
20,20207.44459,0.471014228,1.521460256,0.505015219,40.59994119,50.08714026,0.624840737,0,49.41885258
21,20165.72596,0.472747649,1.517866868,0.503445253,40.81463548,50.09120039,0,0.717831426,49.47499593
22,20135.81042,0.473838981,1.51632062,0.504047049,40.97822078,50.09661442,0,0.391387905,49.51416893
23,20070.78811,0.474825852,1.509023024,0.500827548,41.17075135,50.10212808,0,0.546041713,49.61367418
24,20090.34828,0.475019033,1.515199378,0.502396356,41.39353693,50.10710663,0.157696855,0,49.57659562
25,20108.96185,0.475404046,1.518354235,0.502696174,41.41900139,50.11241327,0,0.200620895,49.53984035
26,20096.85039,0.47576192,1.514783073,0.505309872,41.43604799,50.11597116,0,0.281409764,49.55302026
27,20214.82339,0.476616117,1.532473692,0.505195173,41.06815749,50.1228169,0,0.885627474,49.35051477
28,20244.00636,0.477124553,1.531985817,0.500490163,40.83812639,50.13028893,0,0.888967149,49.28820561
29,20231.76393,0.476662949,1.526089573,0.497483445,40.67343905,50.1362259,0.14343899,0,49.2929606
30,20234.852,0.475757071,1.527355049,0.49959944,40.88239204,50.14814932,0.818758003,0,49.27298916
31,20259.01155,0.475427914,1.532054595,0.496025813,41.09234117,50.15748365,0.355442336,0,49.21775714
32,20182.6087,0.474417144,1.520015537,0.497520956,41.02639878,50.16446349,1.16349824,0,49.32831474
33,20104.15983,0.474024536,1.511677527,0.499914367,41.21079166,50.17250936,0.848201538,0,49.44716671
34,20065.57076,0.47421315,1.511817428,0.499188744,41.29515357,50.18191721,0.322122093,0,49.5047127
35,20023.12016,0.474173555,1.508961587,0.498631782,41.21959191,50.18694411,0.48622115,0,49.57115397
36,19948.43248,0.474042866,1.500266093,0.497003767,41.11790235,50.19099383,0.61627796,0,49.69395457
37,19884.40858,0.473666717,1.49466349,0.50331343,40.95702416,50.19672534,0.990920561,0,49.80379066
38,19810.40731,0.474631849,1.488061226,0.502863787,40.78392764,50.20192973,0,0.415429209,49.93432663
39,19715.11718,0.475334095,1.478362605,0.501958206,40.63078789,50.20510019,0,0.332258711,50.10502333
40,19725.07226,0.475758257,1.484610106,0.502311511,40.72859005,50.20806464,0,0.143800908,50.10669058
41,19658.74164,0.476063227,1.475892038,0.504752881,40.61425278,50.21016037,0,0.234241303,50.23466011
42,19716.65403,0.4768791,1.485426926,0.506214196,40.38414965,50.21043655,0,0.797483689,50.16013442
43,19778.04713,0.477707207,1.492431191,0.504075649,40.48111771,50.21467739,0,1.153150954,50.07611045
44,19757.08204,0.477911362,1.484500619,0.502022853,40.04467487,50.21571104,0,0.705086733,50.12520134
45,19745.08494,0.477766725,1.481910819,0.502956286,39.78444064,50.22117425,0,0.264597374,50.16071128
46,19672.08448,0.477833912,1.47269544,0.502888664,40.16207459,50.2278567,0,0.486212133,50.2984986
47,19629.68028,0.477936675,1.469815641,0.497923042,40.058402,50.23062248,0,0.487223005,50.39004577
48,19562.98876,0.477007782,1.463421915,0.497597803,39.89577541,50.23344285,0.616637244,0,50.52472094
49,19549.55047,0.476229401,1.46435225,0.498512205,39.78410758,50.23361531,0.701401861,0,50.57505096
50,19576.21496,0.475745788,1.469140486,0.500603645,39.83234518,50.23418636,0.508416267,0,50.55951003
51,19812.87711,0.475727874,1.500915678,0.500827339,40.02230304,50.23335311,0.044979527,0,50.19282644
52,20051.39284,0.475509177,1.523440582,0.500660243,39.88331434,50.23399746,0,0.008783675,49.80791215
53,20178.09269,0.475248662,1.525250812,0.49981027,39.57824316,50.23642314,0.024346265,0,49.59379445
54,20214.18888,0.474982217,1.520660117,0.502352607,39.64189619,50.24854482,0.212383786,0,49.52233246
55,20267.68185,0.475359104,1.526452943,0.504979974,39.74241795,50.2630942,0,0.359869776,49.41961207
56,20249.5934,0.476141622,1.522881498,0.505158112,39.66721496,50.27379857,0,0.965280216,49.43257961
57,20248.45051,0.476862008,1.523841082,0.506178324,39.88932127,50.28168253,0,1.032840215,49.4185074
58,20304.67397,0.477630203,1.53412993,0.506603394,39.96445521,50.29151205,0,1.291267633,49.30905074
59,20318.66827,0.478250618,1.534459802,0.503520144,39.8311888,50.29933399,0,1.421101685,49.26626508
60,20361.76564,0.478169761,1.539462789,0.501352086,39.92344177,50.3078103,0,0.762147579,49.17415629
