TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
108,20087.7085,0.483924051,1.515237883,0.507202971,39.21584637,50.63620932,0,2.417703803,49.7179161
109,20104.94667,0.483436313,1.514959802,0.504485452,39.49934618,50.63619765,0,1.484289441,49.68361844
110,20071.74348,0.482553362,1.507628404,0.504366405,39.39216913,50.63962868,0,0.911105234,49.73215196
111,20077.24036,0.481891685,1.50978613,0.503428504,39.36008765,50.64698389,0,0.908930084,49.71841357
112,20034.78501,0.481130476,1.504460018,0.504338312,39.5244049,50.65246155,0,0.721448533,49.7841159
113,20004.71046,0.480751191,1.501817083,0.503197875,39.69865216,50.65526258,0,0.945467196,49.83193371
114,20016.56691,0.480220807,1.505880058,0.502786594,39.67094198,50.65970583,0,0.712159152,49.8119031
115,20022.13274,0.479663955,1.506611076,0.503625956,39.6267585,50.66225061,0,0.637003731,49.80158128
116,19953.22413,0.479392413,1.495872664,0.503852517,40.15399808,50.66463358,0,0.841606168,49.91482871
117,19902.10182,0.47931398,1.49129564,0.501532139,39.95632234,50.66889321,0,0.912638309,50.0028899
118,19843.52492,0.478781533,1.486624501,0.497379234,39.66737799,50.67292588,0,0.410581987,50.10662734
119,19806.8842,0.477534297,1.484468326,0.493509368,39.87054776,50.67324824,0.517471386,0,50.17761191
120,19797.45266,0.475752834,1.485222122,0.491870524,39.68557998,50.67348529,1.404540382,0,50.20566539
121,19637.43332,0.47397489,1.46328122,0.490333572,39.73240442,50.67299888,1.809798107,0,50.48490061
122,19439.39963,0.472429054,1.442149178,0.492045903,39.98809952,50.67251236,2.201092942,0,54.16563294
123,19377.73606,0.471621676,1.444561185,0.493498936,39.89167643,50.67264102,1.868127536,0,54.43211954
124,19352.84871,0.471127347,1.446478992,0.495758524,39.68649514,50.66531724,1.584216321,0,54.64135699
125,19563.89978,0.470844831,1.443335209,0.495973461,39.72222823,50.65405143,1.110434954,0,54.45958568
126,19642.20648,0.470676158,1.42790553,0.499121276,39.72256967,50.64758727,1.085294709,0,54.48519375
127,19619.68404,0.471284514,1.408258501,0.501049506,39.65634152,50.65402556,0.397608548,0,54.67356987
128,19634.89315,0.472289315,1.404026014,0.50349478,39.55744215,50.66023626,0,0.032374337,54.80060214
129,19771.88847,0.473525043,1.417160321,0.501925155,39.63934321,50.66233458,0,0.589555875,54.72400877
130,20060.58754,0.474035954,1.444659992,0.503800066,39.72329018,50.65940626,0,0.254826912,54.38621265
