TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,40,50,0,0,50
2,20000,0.475,1.5,0.5,40.11246844,50,0,0,50
3,20000.00009,0.474950247,1.500000001,0.500135605,40.19189701,50.00000001,0,0,49.99999984
4,20050.57615,0.474937566,1.507291698,0.498733531,40.28686253,50.00000002,0,0.030578909,49.91584128
5,20052.79399,0.474587195,1.505359207,0.497396384,40.65254489,50.00195164,0.284842999,0,49.90891392
6,20112.42853,0.474085164,1.512735437,0.497833148,40.49023317,50.00396807,0.593335237,0,49.80630324
7,20177.56346,0.473710789,1.519977882,0.496323514,39.93584216,50.00836715,0.509164732,0,49.69072328
8,20197.71703,0.473081301,1.518898422,0.495591016,39.83142934,50.01114399,0.86150496,0,49.64582368
9,20226.99713,0.472479075,1.521405064,0.495625427,40.33019646,50.01632794,1.046904007,0,49.5844477
10,20170.27518,0.471990681,1.512245841,0.495467727,40.14581527,50.02276621,1.063393604,0,49.66430521
11,20235.99393,0.471657177,1.524533509,0.494676081,40.11958702,50.02754648,1.123015056,0,49.54405161
12,20235.59798,0.471101951,1.523553845,0.496159218,40.03428762,50.03298393,1.326458755,0,49.52960685
13,20228.20884,0.471003674,1.521045452,0.496114399,39.94236856,50.03508502,1.021292961,0,49.52682412
14,20189.67327,0.4709439,1.516375407,0.495808287,40.32895231,50.04229401,1.052523846,0,49.57634193
15,19968.65821,0.470863846,1.486955093,0.495967469,40.26526226,50.04782659,1.142922978,0,49.9319719
16,19771.76463,0.47105631,1.469498153,0.496899377,40.48651754,50.05242671,1.130081835,0,50.26160869
17,19631.51818,0.471415516,1.46287648,0.496577116,40.78683049,50.05599868,0.942115498,0,50.50958585
18,19553.12806,0.471588122,1.460714962,0.496233034,40.65885352,50.0508437,1.031838857,0,50.66360985
19,19560.32686,0.471617496,1.46599613,0.494261298,40.78387749,50.04459396,1.128255087,0,50.68023085
20,19533.82687,0.47116944,1.461611129,0.497429721,40.57413948,50.03991481,1.593600037,0,50.75246591
21,19560.06994,0.471490954,1.464419284,0.49485675,40.75420431,50.03645617,0.910683513,0,50.73863252
22,19602.35023,0.471188914,1.468588281,0.496224091,40.73510823,50.03583577,1.505025,0,50.69643365
23,19630.12373,0.471190386,1.469096793,0.496407146,40.92906291,50.03330418,1.224977405,0,50.67566813
24,19664.91334,0.471242956,1.471210962,0.494834702,40.85127801,50.03237319,1.204465967,0,50.64145029
25,19663.94688,0.470958487,1.468690025,0.494954049,40.93441763,50.03256936,1.578812737,0,50.66450404
26,19656.00224,0.470787363,1.466641396,0.495153172,41.42427667,50.03214701,1.580309288,0,50.69923131
