TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,39.93923029,50,0,0,50
2,20000.00009,0.474950247,1.500000001,0.49817767,39.69203802,50.00000001,0,0,49.99999984
3,20030.33518,0.474545979,1.504308361,0.500091744,39.57738442,50.00000002,0.410935481,0,49.94952225
4,20044.9603,0.474569955,1.505103381,0.500746061,39.54056938,50.00190906,0,0.01066546,49.9232446
5,19989.04842,0.474731148,1.49578105,0.49871549,39.16229267,50.00391893,0,0.158718569,50.01340452
6,19912.75634,0.474539161,1.48713816,0.498172881,38.94690442,50.00742986,0.295071865,0,50.14105544
7,20003.61802,0.474312793,1.505069574,0.499109095,39.09783543,50.01063476,0.424495104,0,49.99544519
8,20028.10659,0.474126998,1.506050056,0.499828151,39.14215989,50.01060458,0.223427997,0,49.95446466
9,20050.43123,0.474175155,1.50540677,0.502419256,39.31897194,50.0091396,0.066180689,0,49.91551764
10,20097.1789,0.474755045,1.510970144,0.504596604,39.18416759,50.01510593,0,0.51716823,49.83450191
11,19960.17376,0.475610214,1.489303178,0.504872027,39.28456984,50.01932426,0,1.021466071,50.05625901
12,19750.81944,0.476555935,1.465029704,0.505941712,39.32348145,50.02290389,0,1.10885528,50.40717348
13,19562.66945,0.477648846,1.451042117,0.504174864,39.37049896,50.02842659,0,1.37686547,50.73620263
14,19504.50067,0.478166009,1.454621713,0.508536679,38.78755724,50.02616341,0,1.011120671,50.86098464
15,19451.39901,0.479328764,1.452133003,0.509763443,38.66076797,50.01896938,0,2.017671769,50.98105775
16,19398.31029,0.480511528,1.446211613,0.508659409,38.49034239,50.01164616,0,2.341258735,51.10450784
17,19354.81047,0.48126674,1.441913206,0.510392162,38.53848628,50.00889444,0,2.14599799,51.21539968
18,19416.18446,0.482218528,1.451659118,0.508505641,38.75499817,50.00579428,0,2.584360484,51.15456549
19,19657.91816,0.482487009,1.482100045,0.506295452,38.70338093,50.00147884,0,2.216106972,50.78968482
20,19934.15248,0.482031464,1.507873303,0.508414801,38.70401458,49.99696309,0,1.764490323,50.35192415
21,20166.39522,0.482009377,1.522931031,0.510739968,38.60390432,49.99676367,0,2.27702852,49.96968646
22,20257.83079,0.482474481,1.520820496,0.509635609,38.49851898,50.00555945,0,2.847635128,49.80688838
23,20215.46974,0.482746591,1.507926099,0.513141124,38.70184947,50.01807564,0,2.657671843,49.86087601
24,20129.54559,0.483799143,1.498281184,0.513247903,38.55094786,50.03053931,0,3.501161526,49.99006371
25,19936.55009,0.484704332,1.477747775,0.515595432,38.66857901,50.03894042,0,3.597516214,50.30291732
26,19951.45184,0.486025207,1.491023544,0.515793925,38.89677744,50.04252669,0,4.199747437,50.2821816
27,19851.83725,0.486912452,1.480513917,0.514670447,39.15853378,50.04468131,0,4.330282673,50.45104735
28,19717.55982,0.487511713,1.464400281,0.514763447,39.22928657,50.04196263,0,4.163804813,50.68396742
29,19508.64939,0.488104871,1.442953813,0.513670507,39.34356966,50.04726831,0,4.265463751,51.04967054
30,19440.06222,0.488463415,1.443928733,0.51407186,39.15520581,50.04831966,0,4.100204713,51.19524603
31,19423.64079,0.488706393,1.447468225,0.509765426,39.19838368,50.04562159,0,4.265897625,51.25840731
32,19359.47982,0.487979682,1.438742763,0.50804102,39.05095511,50.03870912,0,3.372191992,51.40205816
33,19318.05691,0.487133419,1.434259036,0.506232354,38.87743732,50.03617502,0,3.037048357,51.51197917
34,19162.38385,0.486090144,1.415589795,0.504284945,39.0723455,50.03570933,0,2.67341982,51.8146635
35,19153.20735,0.485003426,1.419826448,0.501824278,39.26908464,50.03193012,0,2.268557098,51.88354062
36,19318.27327,0.483507814,1.443950824,0.502245081,39.05885405,50.02797622,0,1.737243743,51.66306566
37,19538.86707,0.482172076,1.464995016,0.500315508,39.18893356,50.01826516,0,1.842168504,51.33962809
38,19712.47491,0.480633023,1.474208785,0.49730566,38.98020987,50.01321088,0,1.419397593,51.08025716
39,19830.58856,0.478831672,1.478065706,0.494055285,38.99213381,50.01654018,0,0.742412247,50.90211765
40,19904.51206,0.476777095,1.48040696,0.49285197,39.32136753,50.02319298,0.005366157,0,50.78995128
41,19804.40558,0.474913389,1.462435995,0.491761322,39.19897607,50.02872589,0.30940974,0,50.96263968
42,19619.57209,0.473386519,1.441194156,0.491212165,39.08166089,50.03289655,0.594664974,0,51.28272066
43,19482.49376,0.472174134,1.433161507,0.492124606,38.918308,50.03626195,0.763812632,0,51.53516638
44,19432.72288,0.471348242,1.435607704,0.489290104,38.80352983,50.03246527,0.606390368,0,51.65110553
45,19426.96539,0.470034357,1.438265265,0.490238335,38.99107227,50.02368611,1.288885145,0,51.69699173
